,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
46884,smc-obs40423-533,40423,14.257095,-72.60203,18.411962509155277,0.1859877854585648,18.68646240234375,0.2976189851760864,18.788015365600582,0.2886466681957245,19.081,0.07,19.685,0.309,19.689,0.074,19.787,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0776209534681761,0.0,1.0,1.0,0.1870415459628232,0.0,1.0,1.0,0.1230495848581516,0.0,1.0,1.0,0.0,7831.0,1028.6825398769497,653.5952450551939,7498.0,1034.1143684460342,654.4468011674902,7481.0,1034.2490725724956,652.916999891613,4.045315015128042
46895,smc-obs40423-544,40423,14.259479999999998,-72.59358,14.978696823120115,0.0450970195233821,15.021517753601074,0.0476002357900142,15.306425094604492,0.0468075238168239,15.595,0.03,16.475,0.022,16.557000000000002,0.032,16.721,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.1534326030775021,0.0,1.0,1.0,0.2306840338822458,0.0,1.0,1.0,0.2484688801466212,0.0,1.0,1.0,10.0,7914.0,1026.281215666541,683.9024615417031,7581.0,1031.7078627673625,684.7543897944184,7564.0,1031.8705533629934,683.2086431019063,26.61679764443517
46906,smc-obs40423-555,40423,14.261235,-72.59469,18.58329200744629,0.2262527048587799,18.265777587890625,0.2129819840192794,18.53937339782715,0.238104373216629,19.075,0.093,18.64,0.042,17.566,0.0559999999999999,16.581,0.128,15.748,0.07,15.145,0.093,15.01,0.133,0.1028142860384702,0.0,1.0,1.0,0.3817379475925339,0.0,1.0,1.0,0.2952843316445077,0.0,1.0,1.0,10.0,7972.0,1024.3762338728095,679.9328085908077,7638.0,1029.8077236566808,680.7850999776848,7622.0,1029.9684932751732,679.2429710563684,22.99773603048958
46908,smc-obs40423-557,40423,14.26203,-72.60495,18.24919891357422,0.162696972489357,18.43244743347168,0.2413382977247238,18.485605239868164,0.222151443362236,18.267,0.053,18.887,0.195,18.89,0.187,18.898,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.1007815240332994,0.0,1.0,1.0,0.0884579742947821,0.0,1.0,1.0,0.0494425750215653,0.0,1.0,1.0,10.0,7998.0,1023.3337562141804,643.1540203589885,7663.0,1028.7776175832305,644.0065369618281,7647.0,1028.907427907228,642.4863763932308,15.677508885351596
46914,smc-obs40423-563,40423,14.26311,-72.5972,15.971369743347168,0.0524968281388282,15.997014999389648,0.0585143342614173,16.229097366333008,0.0571880042552948,16.549,0.04,17.444000000000006,0.025,17.471,0.055,17.68,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.1492885546164847,0.0,1.0,1.0,0.2309789835530049,0.0,1.0,1.0,0.2306780525130349,0.0,1.0,1.0,10.0,8037.0,1022.3168138921816,670.9447174071768,7702.0,1027.7549412212104,671.7973832676531,7686.0,1027.9096086479997,670.2618794101177,15.160308291704991
46942,smc-obs40423-591,40423,14.26683,-72.59158000000002,18.08002471923828,0.1532051414251327,18.08636283874512,0.186418443918228,18.162797927856445,0.1732723414897918,18.179,0.059,18.801,0.049,18.732,0.047,18.925,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.1910176071284025,0.0,1.0,1.0,0.1858637262581412,0.0,1.0,1.0,0.1974279836378907,0.0,1.0,1.0,10.0,8153.0,1018.4275507880136,691.1125367801936,7818.0,1023.8656606470176,691.966004657424,7802.0,1024.0404906916183,690.4214508823413,35.41265619277642
46972,smc-obs40423-621,40423,14.27124,-72.60423,16.505708694458008,0.0605153553187847,16.74915885925293,0.0785380005836486,16.858917236328125,0.0731401517987251,17.121,0.036,17.891,0.039,17.964000000000006,0.038,18.098,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.1318525339289565,0.0,1.0,1.0,0.2509798320797931,0.0,1.0,1.0,0.2507102494208786,0.0,1.0,1.0,10.0,8299.0,1013.465564210963,645.7857330864525,7963.0,1018.9257148010804,646.6398599204092,7947.0,1019.0655869439364,645.124842571661,19.833818418844743
46993,smc-obs40423-642,40423,14.2758,-72.60887,16.953447341918945,0.0727203413844108,17.229986190795902,0.1012343987822532,17.345495223999027,0.0964009538292884,17.543,0.048,18.339,0.031,18.382,0.046,18.618,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.146500158793625,0.0,1.0,1.0,0.3420587582723241,0.0,1.0,1.0,0.2167882948428589,0.0,1.0,1.0,10.0,8431.0,1008.4935391506856,629.1749394544745,8095.0,1013.9651050654768,630.0297628525298,8079.0,1014.094441891407,628.5275497069774,35.35704282858247
46995,smc-obs40423-644,40423,14.276265,-72.59394,,,18.829307556152344,0.3412643074989319,,,,,,,,,,,,,,,,,,,,,1.3334974371313926,0.0,1.0,1.0,,,,,,,,,8111.0,1013.7141693054848,683.5577358532931,,,,32.92170897202205
47001,smc-obs40423-650,40423,14.27748,-72.59629,18.304489135742188,0.1882568746805191,18.13673973083496,0.1935772895812988,17.939424514770508,0.1478898227214813,18.397,0.061,18.718,0.042,18.158,0.059,17.745,0.0409999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6076339712982688,0.0,1.0,1.0,0.6275742131119189,0.0,1.0,1.0,0.475518454270838,0.0,1.0,1.0,20.0,8480.0,1006.9095443305424,674.2842524587919,8144.0,1012.3732049666024,675.1396772504266,8128.0,1012.5426130326348,673.6127234151762,28.06315187649587
