,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
123,lmc,LMC115,4,5:08:10.47,5:09:12.18,-66:38:37.9,-66:43:18.1
124,lmc,LMC115,5,5:05:11.38,5:06:11.07,-66:37:44.5,-66:40:07.0
125,lmc,LMC115,6,5:05:09.96,5:06:11.64,-66:44:42.1,-66:50:11.4
126,lmc,LMC115,7,5:05:09.76,5:06:11.85,-66:58:53.6,-66:58:48.6
127,lmc,LMC115,8,5:05:08.30,5:06:10.92,-67:08:40.2,-67:09:35.7
128,lmc,LMC116,1,5:08:05.72,5:09:10.67,-67:39:20.0,-67:38:56.1
129,lmc,LMC116,2,5:08:05.69,5:09:10.01,-67:30:49.1,-67:35:54.7
130,lmc,LMC116,3,5:08:05.09,5:09:09.40,-67:24:13.4,-67:28:12.1
131,lmc,LMC116,4,5:08:04.54,5:09:06.87,-67:14:20.2,-67:10:30.3
132,lmc,LMC116,5,5:04:59.71,5:06:01.72,-67:10:49.7,-67:16:16.1
133,lmc,LMC116,6,5:04:59.62,5:06:01.41,-67:26:48.6,-67:28:08.0
134,lmc,LMC116,7,5:04:58.54,5:06:02.41,-67:33:53.4,-67:31:48.2
135,lmc,LMC116,8,5:04:57.23,5:06:00.88,-67:43:44.9,-67:44:38.6
136,lmc,LMC117,1,5:07:56.48,5:09:02.68,-68:19:05.2,-68:19:47.4
137,lmc,LMC117,2,5:07:55.36,5:09:01.56,-68:12:52.0,-68:09:26.1
138,lmc,LMC117,3,5:07:55.18,5:08:59.64,-68:01:26.4,-68:02:27.3
139,lmc,LMC117,4,5:07:54.01,5:08:59.22,-67:54:39.8,-67:54:31.6
140,lmc,LMC117,5,5:04:44.56,5:05:49.67,-67:50:42.1,-67:51:40.2
141,lmc,LMC117,6,5:04:44.37,5:05:47.36,-68:02:21.9,-67:59:52.0
142,lmc,LMC117,7,5:04:37.18,5:05:47.89,-68:10:33.6,-68:09:51.1
143,lmc,LMC117,8,5:04:43.11,5:05:48.49,-68:20:48.1,-68:17:54.0
144,lmc,LMC118,1,5:07:27.04,5:08:37.30,-68:56:29.8,-68:53:18.5
145,lmc,LMC118,2,5:07:28.16,5:08:36.98,-68:44:13.2,-68:46:31.7
146,lmc,LMC118,3,5:07:27.41,5:08:34.10,-68:36:33.7,-68:35:33.7
147,lmc,LMC118,4,5:07:26.42,5:08:32.34,-68:26:29.6,-68:26:18.8
148,lmc,LMC118,5,5:04:12.45,5:05:18.98,-68:28:24.2,-68:27:02.9
149,lmc,LMC118,6,5:04:10.85,5:05:17.88,-68:39:31.7,-68:36:31.0
150,lmc,LMC118,7,5:04:11.34,5:05:17.13,-68:46:43.8,-68:46:22.5
151,lmc,LMC118,8,5:04:09.61,5:05:17.29,-68:57:08.7,-68:53:35.2
152,lmc,LMC119,1,5:07:11.20,5:08:21.27,-69:32:17.3,-69:32:15.1
153,lmc,LMC119,2,5:07:10.52,5:08:19.49,-69:22:29.0,-69:21:05.8
154,lmc,LMC119,3,5:07:10.22,5:08:19.00,-69:12:45.8,-69:12:10.4
155,lmc,LMC119,4,5:07:10.01,5:08:17.78,-69:03:28.4,-69:03:21.4
