,ra,dec,photometry,distance_to_center
18299,8.0374907460653,-71.63118154191311,3306.6816204260876,117.10140546026173
18300,8.024046050380493,-71.63343540601468,3353.9752347620392,117.2132106604798
18301,8.010598181199423,-71.63568833636134,3389.4852544435125,117.32561514395427
18302,12.661971092573358,-70.7580369067407,3066.348020379175,122.88671439232478
18303,12.64968078619367,-70.7606018245569,3095.107859997487,122.75086929035253
18304,12.637387278717075,-70.76316594455362,3119.0877013037143,122.61554694376665
18305,12.625090570002294,-70.7657292663567,3120.887526704287,122.48074909793941
18306,12.61279065990933,-70.76829178959213,3121.1328863253557,122.3464774991563
18307,12.600487548299137,-70.77085351388571,3128.845054833624,122.21273389456303
18308,12.588181235033808,-70.77341443886324,3121.8230639875355,122.07952003208969
18309,12.575871719976536,-70.77597456415049,3089.1876803440105,121.94683766037481
18310,11.968780739015484,-70.90043327999663,2719.0235869432727,116.1328608079625
18311,11.656074528448858,-70.96317834098072,2899.976378742891,113.72540356357047
18312,11.643524571228735,-70.96567742052062,2887.805836185397,113.63749996747
18313,11.630971405128394,-70.9681756718347,2887.0320309811596,113.55025630506306
18314,11.61841503009951,-70.9706730945463,2906.7631011609656,113.46367410903134
18315,11.605855446094722,-70.97316968827889,2933.392991081769,113.37775490512615
18316,11.593292653067918,-70.97566545265585,2938.9147918079298,113.29250021206936
18317,11.580726650974308,-70.97816038730058,2945.9887061347576,113.20791154143049
18318,11.568157439770236,-70.98065449183638,2961.3909045158593,113.12399039751621
18319,10.961060835280573,-71.09938791337056,3330.799446136547,109.90815548339114
18320,10.948334349501742,-71.10184088070525,3265.2008424180435,109.85860344328529
18321,10.935604653987058,-71.10429299907094,3201.412802072822,109.809782350922
18322,10.922871748755849,-71.10674426808997,3167.742356967748,109.76169319006246
18323,10.910135633828578,-71.10919468738467,3166.470281559429,109.71433693151405
18324,10.897396309226973,-71.1116442565773,3177.1180787375242,109.66771453304247
18325,10.884653774974145,-71.11409297529016,3163.5892184162285,109.62182693927157
18326,10.87190803109433,-71.11654084314549,3093.121075171881,109.57667508159662
18327,10.85915907761302,-71.11898785976558,2994.96495703223,109.53225987808979
18328,10.846406914557155,-71.12143402477261,2936.58141645381,109.48858223341998
18329,10.833651541954847,-71.12387933778885,2920.15848309144,109.44564303875137
18330,10.820892959835408,-71.12632379843649,2925.625449975082,109.40344317166759
18331,10.808131168229552,-71.12876740633767,2945.89709691958,109.36198349608448
18332,8.989838962898025,-71.46227924192652,3278.3801803158103,111.01349663786935
18333,8.976625571440602,-71.4645988264128,3271.785075251487,111.07776269207046
18334,8.96340898842465,-71.46691750444204,3250.8065208922476,111.1427366403688
18335,8.950189214076502,-71.46923527563621,3239.0284253075843,111.20841724392308
18336,8.936966248623548,-71.47155213961727,3240.4357737118644,111.27480325330069
18337,8.923740092294977,-71.4738680960072,3246.0759835510653,111.34189340858245
18338,8.910510745321321,-71.4761831444279,3255.5416944062245,111.4096864394749
18339,8.89727820793444,-71.47849728450146,3290.2313699388633,111.47818106542182
18340,8.88404248036797,-71.48081051584985,3318.436749890868,111.54737599571298
18341,7.327123672731207,-71.74287798748192,3398.962358970446,123.92279918536178
18342,7.313516715841957,-71.74508229375276,3441.098594226116,124.06316796629721
18343,12.654157711882664,-70.75399473897069,3033.2083326563447,123.13976299603507
18344,12.64186890030782,-70.75655911665147,3068.4515632817547,123.00420013386211
